GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene182	4	12	5	18	2	0
Gene183	66	0	0	0	38	0
Gene184	18	15	15	48	4	1
Gene185	30	0	0	0	0	144
Gene186	959	0	0	0	569	257
Gene187	435	390	113	42	39	112
Gene188	63	248	187	114	0	136
Gene189	3610	5870	2354	3015	2278	2598
Gene190	8	115	36	38	94	226
Gene191	67	59	26	24	14	0
Gene192	937	69	1	691	611	0
Gene193	6	28	9	9	7	7
Gene194	12	59	118	165	0	74
Gene195	1606	2658	690	326	498	0
Gene196	353	19	11	22	9	10
Gene197	19	0	0	0	39	0
Gene198	609	0	0	0	0	4
Gene199	238	632	293	291	117	2187
Gene200	96	68	0	0	86	0
Gene201	24	9	0	0	18	126
Gene202	53	88	51	72	0	0
Gene203	16	8	0	0	0	0
Gene204	125	75	202	337	111	48
Gene205	8	52	1	0	10	0
Gene206	3	10	23	12	2	1
Gene207	27	3	0	0	14	0
Gene208	38	0	0	0	0	0
Gene209	10	173	65	37	0	0
Gene210	129	119	39	21	22	32
Gene211	1417	834	431	772	659	543
Gene212	12	16	0	1	0	6
Gene213	63	188	152	0	176	0
Gene214	221	277	24	19	38	0
Gene215	38	40	8	26	17	22
Gene216	5	72	31	33	13	26
Gene217	115	8	0	0	7	0
Gene218	73	314	75	79	0	0
Gene219	24	27	6	2	0	0
Gene220	8	13	0	0	7	0
Gene221	73	86	52	58	54	4
Gene222	1715	172	320	0	1339	0
Gene223	933	2952	1171	979	567	1803
Gene224	66	106	23	31	23	40
Gene225	43	31	0	9	0	0
Gene226	141	10	0	0	0	0
Gene227	63	110	0	1	21	2
Gene228	1219	4654	2942	1919	1367	969
Gene229	97	47	0	0	0	0
Gene230	22	7	2	4	2	1
Gene231	80	81	0	14	0	65
Gene232	90	89	255	186	0	20
Gene233	3	36	0	2	1	1
Gene234	3167	3117	2345	535	963	0
Gene235	11	22	3	8	2	4
Gene236	14	65	6	10	14	3
Gene237	7	20	0	20	0	54
Gene238	4	35	4	8	1	0
Gene239	194	506	516	897	255	538
Gene240	41	7	0	0	24	0
Gene241	7	17	1	6	3	8
Gene242	26	25	32	18	23	0
Gene243	28	36	9	8	12	12
Gene244	5	39	51	62	27	25
Gene245	248	1150	1102	2294	160	53
Gene246	245	117	82	44	101	0
Gene247	1203	641	226	382	817	59
Gene248	78	4	0	0	34	87
Gene249	13	0	0	0	83	0
Gene250	6	0	14	10	0	183
Gene251	1385	756	46	402	0	0
Gene252	1270	910	541	365	539	498
Gene253	1	5	8	11	1	9
Gene254	14	29	4	5	6	3
Gene255	107	114	0	30	0	0
Gene256	212	668	14	69	0	55
Gene257	241	531	89	47	22	0
Gene258	10	34	19	14	1	6
Gene259	634	1128	367	294	397	119
Gene260	9	13	3	0	14	0
Gene261	9	42	32	61	9	6
Gene262	833	252	5	122	166	11
Gene263	350	444	260	215	303	155
Gene264	732	687	303	417	762	428
Gene265	697	1452	554	738	685	249
Gene266	420	1529	788	660	394	154
Gene267	374	356	107	138	135	217
Gene268	5419	7417	2520	2754	5843	3098
Gene269	241	82	130	116	55	46
Gene270	1537	2652	530	941	1386	3229
Gene271	11730	22048	10982	13863	5974	6491
Gene272	2896	5838	3250	2594	2681	3157
Gene273	481	435	171	124	160	165
Gene274	201	274	67	32	53	49
Gene275	6216	13008	3756	4894	3638	4260
Gene276	4475	6479	3056	4199	2681	3485
Gene277	1390	275	24	382	396	6715
Gene278	1020	1395	552	455	431	1121
Gene279	611	284	0	0	405	0
Gene280	3547	683	174	168	398	46
Gene281	245	242	32	11	178	103
Gene282	1410	7582	4378	5780	759	455
Gene283	767	996	603	1712	554	1518
Gene284	1438	2785	993	1460	896	1249
Gene285	13904	20473	6615	9584	8912	12325
Gene286	1197	510	0	0	518	64
Gene287	2902	3156	1196	781	2213	1528
Gene288	717	3234	462	849	819	589
Gene289	18	61	0	0	39	0
Gene290	1199	367	339	157	302	0
Gene291	380	750	314	301	354	328
Gene292	1744	2753	1007	802	1643	1367
