GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene1562	467	441	237	234	172	691
Gene1563	145	121	12	12	85	0
Gene1564	2743	2580	1279	2981	1580	2421
Gene1565	1363	1206	501	602	710	1354
Gene1566	856	953	352	296	480	1006
Gene1567	4	5	1	3	8	2
Gene1568	274	1641	146	56	362	0
Gene1569	401	373	24	14	308	1324
Gene1570	2631	5686	2155	2263	2104	4630
Gene1571	12426	6178	4806	1581	1600	0
Gene1572	816	836	156	134	284	375
Gene1573	825	1749	751	1059	305	100
Gene1574	1494	3736	1969	2049	1033	2157
Gene1575	291	939	361	352	223	67
Gene1576	709	1967	753	352	500	756
Gene1577	272	489	158	345	154	111
Gene1578	18775	12094	7160	5373	7722	751
Gene1579	4537	4881	2051	2509	2697	3961
Gene1580	1828	1817	836	808	1508	2304
Gene1581	611	978	460	526	353	445
Gene1582	5	61	21	18	1	0
Gene1583	103	185	267	165	94	64
Gene1584	47	50	30	65	0	0
Gene1585	277	514	61	94	232	558
Gene1586	500	1154	536	648	453	281
Gene1587	319	155	192	226	400	329
Gene1588	3563	2139	1576	2006	2503	220
Gene1589	736	1267	377	515	835	209
Gene1590	2836	3484	2166	7966	1534	2525
Gene1591	165	228	43	49	44	43
Gene1592	43	193	63	12	17	0
Gene1593	9728	5084	549	1450	60	0
Gene1594	142	130	16	12	156	20
Gene1595	6056	689	384	107	1480	1099
Gene1596	1682	1649	433	646	1140	2723
Gene1597	6109	13179	5644	7014	3661	3792
Gene1598	2275	3567	2016	1862	1085	1779
Gene1599	23	122	0	67	25	128
Gene1600	2192	4138	212	290	281	350
Gene1601	76	83	26	67	27	0
Gene1602	2305	4384	2985	2314	1788	1259
Gene1603	128	248	70	36	69	431
Gene1604	327	1607	824	708	618	66
Gene1605	3466	6629	4843	5642	2448	6540
Gene1606	65	333	86	100	35	89
Gene1607	1625	1266	396	196	1220	0
Gene1608	282	620	2566	4611	72	149
Gene1609	417	685	257	611	246	0
Gene1610	950	1218	1093	1118	415	0
Gene1611	2254	3725	2018	1622	1746	1038
Gene1612	99	26	17	27	7	11
Gene1613	4876	7990	3129	3802	4234	10540
Gene1614	64	74	58	71	39	467
Gene1615	897	1788	706	910	802	1665
Gene1616	329	274	259	121	153	91
Gene1617	706	520	407	233	83	106
Gene1618	100	471	150	232	36	0
Gene1619	648	904	398	246	405	262
Gene1620	1754	2719	1487	1354	924	546
Gene1621	314	181	327	517	266	20
Gene1622	818	3477	234	377	347	354
Gene1623	12	181	0	96	911	666
Gene1624	845	2012	475	789	449	721
Gene1625	1357	1314	321	394	1321	145
Gene1626	1205	1180	698	1675	831	296
Gene1627	67	277	169	120	242	119
Gene1628	862	942	834	1743	1042	286
Gene1629	80	271	25	23	0	0
Gene1630	1029	2274	1067	1166	735	1668
Gene1631	148	379	383	168	234	910
Gene1632	222	209	103	63	271	1252
Gene1633	245	1035	595	839	231	0
Gene1634	557	0	0	0	81	0
Gene1635	1337	1148	504	500	871	411
Gene1636	2624	4113	1640	2039	1266	1993
Gene1637	17	35	25	13	33	0
Gene1638	2114	4674	1369	1284	1319	1580
Gene1639	253	331	60	287	226	112
Gene1640	882	1152	271	313	427	153
Gene1641	38	0	0	0	7	0
Gene1642	1681	2303	511	828	1019	1964
Gene1643	383	1308	441	726	70	1418
Gene1644	1850	1576	662	679	1834	575
Gene1645	14	161	55	31	37	0
Gene1646	2754	6575	1602	2150	2091	1398
Gene1647	264	211	162	140	258	0
Gene1648	315	379	123	167	138	444
Gene1649	1099	1213	890	1022	397	1059
Gene1650	497	1370	345	282	265	419
Gene1651	391	626	248	143	157	162
Gene1652	85	242	309	393	40	86
Gene1653	570	1421	881	1357	587	2652
Gene1654	480	468	390	462	130	776
Gene1655	459	317	107	193	264	196
Gene1656	294	928	148	122	135	145
Gene1657	2413	1409	731	359	1099	846
Gene1658	245	94	46	17	112	40
Gene1659	931	3553	1320	1170	683	1489
Gene1660	580	225	282	112	150	488
Gene1661	56	104	28	55	9	30
Gene1662	30	157	43	92	6	0
Gene1663	2672	3084	930	1449	1710	1483
Gene1664	13	22	72	17	0	0
Gene1665	4768	5368	3394	3319	3883	4027
Gene1666	2320	3213	1041	1657	958	1065
Gene1667	3940	2476	1260	1356	2277	957
Gene1668	1464	1062	869	1655	1387	149
Gene1669	485	222	346	109	661	228
Gene1670	387	313	0	0	121	0
Gene1671	0	11	21	13	0	26
Gene1672	216	168	111	178	52	90
Gene1673	4241	504	317	697	1322	2256
Gene1674	479	518	30	31	63	0
Gene1675	2792	1966	1360	1525	1780	2838
Gene1676	309	458	280	219	183	381
Gene1677	1385	2547	2459	2239	944	232
Gene1678	450	215	100	118	398	174
Gene1679	27	156	33	34	9	19
Gene1680	1484	2532	1095	1201	1004	1293
Gene1681	76	265	275	146	74	26
Gene1682	988	1499	339	445	441	1628
Gene1683	186	15	16	0	304	253
Gene1684	1726	2103	883	1486	1780	5775
Gene1685	104	270	58	57	52	795
Gene1686	183	294	212	337	195	0
Gene1687	7298	13153	4380	5939	3827	5546
Gene1688	972	675	0	18	579	385
Gene1689	114	114	69	45	137	0
Gene1690	1656	6351	1410	1153	1143	891
Gene1691	735	1586	919	915	614	1014
Gene1692	66	610	48	218	0	142
Gene1693	1465	1312	570	706	1145	1056
Gene1694	443	646	131	58	411	151
Gene1695	500	894	274	350	385	61
Gene1696	70	0	1	0	124	2227
Gene1697	993	2461	1379	1945	630	48
Gene1698	229	257	120	113	88	135
Gene1699	1242	2556	705	449	920	3015
Gene1700	435	1566	1276	1586	271	841
Gene1701	645	1367	306	604	179	39
Gene1702	238	149	17	1	167	46
Gene1703	156	45	0	0	110	130
Gene1704	375	707	134	141	114	71
Gene1705	1446	2087	1734	2135	1200	3122
Gene1706	1706	2118	579	1000	799	4085
Gene1707	2	108	4	0	12	366
Gene1708	782	654	300	246	617	0
Gene1709	257	202	63	11	222	354
Gene1710	1486	1909	747	1164	1116	1482
Gene1711	127	136	95	482	120	58
Gene1712	5374	1454	3695	23988	2685	2739
Gene1713	262	93	44	0	238	0
Gene1714	131	195	67	160	160	53
Gene1715	131	83	43	14	30	37
Gene1716	565	1033	447	517	224	163
Gene1717	56	185	258	114	23	4
Gene1718	269	359	24	0	1	3451
Gene1719	918	1276	542	680	957	668
Gene1720	580	628	236	176	345	0
Gene1721	370	806	320	305	0	0
Gene1722	29	61	0	0	0	118
Gene1723	1150	36	0	0	0	33
Gene1724	232	1681	1259	1945	211	157
Gene1725	619	418	20	0	448	46
Gene1726	1083	1570	399	225	802	984
Gene1727	480	615	398	529	307	1232
Gene1728	3111	5529	2014	1681	2428	3618
Gene1729	102	69	86	125	41	0
Gene1730	0	0	0	0	0	55
Gene1731	10	143	20	46	53	106
Gene1732	8043	12015	9331	6393	9497	4930
Gene1733	95	19	19	42	17	190
Gene1734	668	2150	482	398	264	1280
Gene1735	451	514	174	233	228	729
Gene1736	57	9	28	27	38	49
Gene1737	135	0	0	0	24	0
Gene1738	1200	1391	521	805	1288	857
Gene1739	51	243	430	254	5	4
Gene1740	125	79	0	0	48	25
Gene1741	500	998	927	757	19	51
Gene1742	35	52	14	21	15	12
Gene1743	11	19	0	0	9	0
Gene1744	573	385	213	318	253	36
Gene1745	1065	835	649	454	641	2511
Gene1746	10	0	0	0	19	0
Gene1747	63	86	0	19	23	0
Gene1748	9	21	15	22	6	5
Gene1749	14	26	19	16	13	14
Gene1750	1580	2692	722	1460	805	907
Gene1751	531	593	259	761	356	271
Gene1752	76	8	0	0	48	0
Gene1753	7642	1309	2130	1383	3374	2181
Gene1754	1116	531	159	350	400	1183
Gene1755	1248	1943	625	956	751	1650
Gene1756	113	88	49	77	163	39
Gene1757	311	1349	2826	6593	140	469
Gene1758	1084	1496	641	533	403	323
Gene1759	233	256	116	130	214	136
Gene1760	306	112	66	112	114	18
Gene1761	109	129	44	149	162	230
Gene1762	232	397	144	24	214	0
Gene1763	295	709	353	43	306	426
Gene1764	1796	1998	635	1121	592	1236
Gene1765	391	1553	409	341	193	105
Gene1766	844	2646	471	1669	879	596
Gene1767	224	231	194	155	102	87
Gene1768	6466	3467	1312	636	4516	80
Gene1769	642	2352	487	745	736	738
Gene1770	955	3869	735	883	874	1349
Gene1771	188	499	367	265	330	0
Gene1772	893	1422	271	470	630	2154
Gene1773	792	2808	947	2270	579	541
Gene1774	69	44	47	31	36	359
Gene1775	275	313	227	346	140	288
Gene1776	380	311	575	322	249	0
Gene1777	131	12	0	0	42	0
Gene1778	759	1357	309	514	685	832
Gene1779	73	29	78	62	79	136
Gene1780	1025	558	165	0	971	124
Gene1781	304	501	422	384	121	963
Gene1782	1719	116	0	2	722	0
Gene1783	656	1066	398	428	361	505
Gene1784	9232	3080	410	972	2095	556
Gene1785	510	763	156	148	434	474
Gene1786	2686	859	28	0	0	0
Gene1787	1015	169	350	11	454	176
Gene1788	18	126	35	107	0	0
Gene1789	23	71	0	0	54	120
Gene1790	56	0	0	0	0	0
Gene1791	1230	2878	926	493	536	654
Gene1792	3400	6082	1434	1029	1452	995
Gene1793	133	156	109	199	115	706
Gene1794	815	173	148	135	60	27
Gene1795	2025	2508	2845	3694	1164	2815
Gene1796	385	938	268	376	152	1838
Gene1797	2332	2747	2811	4520	1259	1149
Gene1798	129	347	52	115	123	130
Gene1799	837	841	747	420	465	192
Gene1800	31	0	0	0	21	0
Gene1801	237	19	27	16	21	191
Gene1802	266	33	0	0	139	194
Gene1803	55	138	47	72	60	216
Gene1804	1094	779	402	456	550	687
Gene1805	2342	3706	1027	1999	1541	2289
Gene1806	50	0	0	0	0	52
Gene1807	547	1091	701	716	330	247
Gene1808	124	394	305	258	49	0
Gene1809	667	1936	930	656	403	465
Gene1810	1213	2493	1218	1367	661	3195
Gene1811	794	1045	527	431	622	621
Gene1812	14991	25817	10371	8768	9509	12211
Gene1813	77	0	0	0	335	269
Gene1814	26	32	8	12	25	34
Gene1815	1400	7158	1232	1956	1111	428
Gene1816	2193	8171	1499	2038	880	1401
Gene1817	200	148	12	0	28	478
Gene1818	285	880	206	75	95	250
Gene1819	324	1359	557	112	485	179
Gene1820	295	115	12	10	277	36
Gene1821	537	696	307	49	8	137
Gene1822	1014	1976	731	733	450	189
Gene1823	702	3251	2127	2338	361	712
Gene1824	1678	3353	1391	1438	935	264
Gene1825	783	1712	990	1277	838	2001
Gene1826	1654	1493	595	4049	1688	185
Gene1827	3078	4263	1569	1703	2093	1973
Gene1828	29	24	22	3	90	0
Gene1829	267	1049	520	218	136	182
Gene1830	2500	537	58	129	303	186
Gene1831	880	1528	476	668	391	654
Gene1832	254	1257	319	201	86	80
Gene1833	289	1312	167	209	388	310
Gene1834	1395	1089	2650	412	2568	0
Gene1835	635	1052	0	0	38	425
Gene1836	86	30	18	40	59	40
Gene1837	76	199	150	336	18	66
Gene1838	277	0	0	0	73	658
Gene1839	748	678	223	347	861	2368
Gene1840	512	512	473	418	127	0
Gene1841	334	646	419	159	110	202
Gene1842	390	2172	480	360	147	18
Gene1843	4895	365	130	64	125	0
Gene1844	2314	1148	723	71	1646	484
Gene1845	211	504	217	435	161	155
Gene1846	53	31	18	39	0	413
Gene1847	336	413	320	247	533	0
Gene1848	563	430	222	159	385	3401
Gene1849	1773	1488	508	687	1164	4191
Gene1850	1217	725	827	683	494	68
Gene1851	798	1839	533	803	621	553
Gene1852	571	1113	344	400	310	574
Gene1853	315	586	162	247	182	790
Gene1854	33	60	11	27	17	85
Gene1855	1204	566	587	389	723	0
Gene1856	1152	1137	197	129	887	129
Gene1857	9	16	17	13	62	0
Gene1858	85	288	125	8	63	0
Gene1859	197	303	67	118	97	168
Gene1860	403	203	119	261	147	0
Gene1861	31	699	7768	5179	1564	256
Gene1862	377	3553	1762	1242	161	108
Gene1863	1199	2615	588	1055	517	81
Gene1864	447	406	192	320	266	290
Gene1865	423	1197	950	530	258	193
Gene1866	271	165	31	84	250	321
Gene1867	1117	696	592	209	812	2162
Gene1868	19	44	13	36	47	0
Gene1869	821	935	431	433	454	679
Gene1870	11409	21482	8376	8744	6342	7929
Gene1871	634	1123	222	277	305	451
Gene1872	234	256	88	205	0	0
Gene1873	501	1581	389	542	310	193
Gene1874	1120	1339	864	1056	1425	2551
Gene1875	554	1236	552	346	244	1063
Gene1876	132	240	62	38	255	637
Gene1877	709	352	237	109	853	215
Gene1878	20	17	11	39	19	12
Gene1879	476	642	104	62	270	182
Gene1880	457	48	0	0	173	539
Gene1881	3213	6109	2337	3126	2420	1457
Gene1882	11	16	4	4	13	16
Gene1883	709	797	55	102	551	2026
Gene1884	37	96	34	27	40	37
Gene1885	690	1668	528	931	373	626
Gene1886	489	554	709	1895	525	383
Gene1887	22	0	0	0	21	36
Gene1888	94	165	29	0	75	42
Gene1889	337	783	156	195	117	221
Gene1890	703	456	430	658	76	285
Gene1891	1491	2384	1348	1373	1276	1650
Gene1892	5739	3156	2523	1129	2981	6212
Gene1893	1009	1968	630	681	362	851
Gene1894	2601	745	184	57	627	440
Gene1895	589	584	171	270	580	953
Gene1896	34	16	0	0	40	39
Gene1897	250	885	1309	1456	120	393
Gene1898	254	95	185	357	214	113
Gene1899	2560	2210	1177	1928	753	818
Gene1900	504	489	155	769	313	171
Gene1901	1678	1516	745	1734	827	1160
Gene1902	502	564	34	105	155	76
Gene1903	223	341	185	278	159	428
Gene1904	284	489	1523	563	185	0
Gene1905	480	135	110	42	274	0
Gene1906	4344	1431	643	0	590	0
Gene1907	6369	3737	1480	1543	304	68
Gene1908	431	346	61	94	339	491
Gene1909	2368	3484	1581	2117	1241	1098
Gene1910	256	1589	453	363	275	1019
Gene1911	761	1105	1281	1819	217	524
Gene1912	540	2041	487	257	378	1499
Gene1913	39	32	0	0	24	0
Gene1914	244	448	144	152	184	461
Gene1915	4655	3405	769	559	2910	847
Gene1916	27	63	17	0	12	3
Gene1917	166	61	17	0	124	0
Gene1918	113	302	23	3	53	43
Gene1919	20	0	16	0	0	0
Gene1920	182	126	47	140	212	120
Gene1921	278	595	172	140	145	278
Gene1922	402	460	126	33	393	136
Gene1923	3208	11277	3606	5075	2336	1689
Gene1924	6	37	8	4	1	8
Gene1925	0	155	52	54	1	63
Gene1926	78	637	101	0	0	0
Gene1927	33	34	16	27	15	67
Gene1928	288	568	246	340	264	54
Gene1929	1002	293	174	302	386	129
Gene1930	2290	918	816	753	400	1988
Gene1931	497	2363	858	1268	487	419
Gene1932	24	0	0	0	34	0
Gene1933	219	6	110	150	106	249
Gene1934	22	101	35	32	72	18
Gene1935	14	0	16	0	3	30
Gene1936	356	435	138	151	235	81
Gene1937	102	0	0	0	0	0
Gene1938	2056	1230	1043	1057	760	0
Gene1939	39	140	22	7	5	18
Gene1940	7987	7125	7782	11121	1763	1931
Gene1941	314	196	24	66	98	0
Gene1942	1049	1525	586	667	796	346
Gene1943	453	1425	1306	815	126	56
Gene1944	35	29	0	37	18	0
Gene1945	163	46	61	48	42	0
Gene1946	2052	5259	1487	1392	1434	2784
Gene1947	445	2472	805	766	283	1461
Gene1948	2508	3543	1165	1674	1740	745
Gene1949	2939	6188	1818	1059	1505	1763
Gene1950	125	270	345	108	102	0
Gene1951	817	978	529	1006	587	409
Gene1952	842	865	297	365	497	172
Gene1953	8430	15463	6531	6347	4769	6022
Gene1954	4	0	7	26	20	117
Gene1955	919	1498	477	435	465	2118
Gene1956	562	4158	406	475	386	183
Gene1957	201	120	0	26	0	0
Gene1958	374	410	0	157	160	1071
Gene1959	2874	1555	570	1376	1553	1567
Gene1960	272	289	214	89	50	134
Gene1961	608	869	434	370	414	3241
Gene1962	205	166	160	35	429	51
Gene1963	15	0	0	0	11	0
Gene1964	247	112	91	78	228	0
Gene1965	1102	1450	747	563	1637	498
Gene1966	25	95	16	36	9	38
Gene1967	30	14	0	0	10	0
Gene1968	178	250	44	11	109	0
Gene1969	210	142	98	153	441	41
Gene1970	75	123	34	34	73	117
Gene1971	305	78	26	23	10	70
Gene1972	0	0	13	45	0	0
Gene1973	1	4	1	2	14	13
Gene1974	92	119	55	21	83	36
Gene1975	1206	2103	854	1368	1582	981
Gene1976	359	391	158	275	104	173
Gene1977	724	1900	354	797	215	0
Gene1978	28	82	28	0	0	0
Gene1979	31	69	19	0	97	37
Gene1980	352	319	124	411	507	0
Gene1981	1192	1683	1618	884	487	675
Gene1982	869	837	490	1018	760	2840
Gene1983	49	20	2	10	31	0
Gene1984	483	442	190	229	417	217
Gene1985	877	543	187	271	422	253
Gene1986	41	19	20	20	57	0
Gene1987	115	94	0	0	32	335
Gene1988	299	277	159	157	415	199
Gene1989	122	21	0	0	62	393
Gene1990	1091	2349	568	1919	631	652
Gene1991	738	378	527	85	333	0
Gene1992	803	1120	440	805	473	1074
Gene1993	18	63	29	105	47	0
Gene1994	972	2345	454	767	319	1180
Gene1995	3864	5686	1779	1484	1577	3821
Gene1996	1643	4308	1351	1132	1227	643
Gene1997	942	1751	1598	1532	615	4619
Gene1998	1260	628	623	306	551	0
Gene1999	3056	3744	3510	1632	1241	1679
Gene2000	202	125	0	0	70	0
Gene2001	781	449	60	224	291	1209
Gene2002	1184	2691	984	628	749	100
Gene2003	4537	11180	3192	2069	2814	1609
Gene2004	46	196	0	0	145	0
Gene2005	413	667	273	228	408	1643
Gene2006	529	747	227	170	649	296
Gene2007	1001	0	3006	904	171	0
Gene2008	269	603	1337	3711	48	0
Gene2009	304	259	59	32	71	814
Gene2010	23	13	4	9	17	21
Gene2011	656	1179	395	760	247	288
Gene2012	56	46	5	13	36	35
Gene2013	239	595	279	287	145	0
Gene2014	1057	1820	543	544	624	1452
Gene2015	730	975	400	603	406	1245
Gene2016	1033	477	722	471	392	386
Gene2017	2093	3459	2282	2267	825	1743
Gene2018	85	404	191	112	45	0
Gene2019	78	20	24	0	64	0
Gene2020	218	461	226	293	26	0
Gene2021	21	60	5	4	5	14
Gene2022	388	0	0	0	700	0
Gene2023	332	89	61	0	238	172
Gene2024	1963	5043	8720	8195	699	878
Gene2025	1565	2485	810	757	1574	2015
Gene2026	306	919	652	302	232	128
Gene2027	22	50	80	43	34	0
Gene2028	874	783	504	402	664	595
Gene2029	163	255	83	50	113	25
Gene2030	1522	1514	387	678	1324	2161
Gene2031	411	319	184	221	497	552
Gene2032	24	237	270	106	509	241
Gene2033	9	15	4	10	7	14
Gene2034	1647	4305	2138	1681	1208	1164
Gene2035	3121	2739	2626	3106	2928	4950
Gene2036	79	143	30	39	63	32
Gene2037	7180	1386	598	1192	2293	1784
Gene2038	309	853	247	477	145	280
Gene2039	3984	2475	952	709	2933	75
Gene2040	43	9	0	1	61	327
Gene2041	224	673	894	684	193	214
Gene2042	587	322	150	108	413	534
Gene2043	1460	1316	434	460	1611	5075
Gene2044	1531	1946	749	733	1534	4366
Gene2045	903	1213	346	383	890	541
Gene2046	5	4	7	4	15	0
Gene2047	284	509	90	206	53	0
Gene2048	164	167	49	61	167	123
Gene2049	814	803	889	878	790	278
Gene2050	1256	1623	552	806	1333	662
Gene2051	207	249	140	377	29	0
Gene2052	3991	3173	1510	2084	4770	4138
Gene2053	593	283	438	156	0	0
Gene2054	138	142	17	52	177	0
Gene2055	5613	7362	2239	2604	3188	6570
Gene2056	492	1680	81	263	508	1771
Gene2057	386	291	29	20	262	202
Gene2058	306	44	899	0	0	265
Gene2059	372	325	82	67	191	118
Gene2060	563	252	0	0	265	242
Gene2061	20	334	358	351	217	0
Gene2062	85	48	0	40	153	0
Gene2063	44	79	20	32	16	33
Gene2064	2346	4446	1438	1171	1623	1897
Gene2065	3828	7212	2500	2284	2198	3346
Gene2066	32	65	14	21	9	8
Gene2067	50	30	26	59	21	7
Gene2068	1354	1419	759	865	1202	358
Gene2069	5356	11952	2581	2288	2727	2276
Gene2070	331	343	184	192	216	213
Gene2071	1162	1268	641	886	436	1364
Gene2072	44	50	8	20	22	0
Gene2073	53	146	190	278	129	0
Gene2074	7482	13595	8842	17192	3964	2449
Gene2075	69	82	28	12	36	0
Gene2076	8	7	6	8	7	16
Gene2077	863	1747	1446	1040	371	108
Gene2078	1274	926	717	696	663	1770
Gene2079	483	792	282	289	193	0
Gene2080	1135	2300	1441	1876	941	1964
Gene2081	121	47	0	12	117	32
Gene2082	1656	96	417	21	0	77
Gene2083	534	687	93	362	641	2290
Gene2084	1258	2499	816	836	1158	5400
Gene2085	89	28	0	0	18	212
Gene2086	7294	15243	6276	4227	4213	2469
Gene2087	426	357	52	48	248	156
Gene2088	3749	11432	2560	2207	2493	2818
Gene2089	822	2627	14262	8155	296	149
Gene2090	505	719	338	361	445	139
Gene2091	601	368	0	103	698	35
Gene2092	1143	1682	450	399	1350	83
Gene2093	343	357	89	135	160	0
Gene2094	20	13	67	18	21	0
Gene2095	241	89	16	0	130	125
Gene2096	68	96	27	9	23	0
Gene2097	19	38	28	41	11	38
Gene2098	45	12	0	0	18	0
Gene2099	37	17	11	5	29	0
Gene2100	221	808	62	121	121	78
Gene2101	1678	4869	2590	4034	1343	4814
Gene2102	5	7	4	7	0	0
Gene2103	1569	3777	1305	1452	992	2041
Gene2104	499	926	221	290	433	1042
Gene2105	511	281	75	207	476	0
Gene2106	257	1066	850	376	8	136
Gene2107	124	321	59	73	230	94
Gene2108	134	74	0	0	231	0
Gene2109	907	915	573	725	856	270
Gene2110	5	15	10	21	2	0
Gene2111	3319	5945	1446	1531	2835	5567
Gene2112	381	630	166	101	118	222
Gene2113	347	1551	274	228	330	0
Gene2114	276	245	179	127	66	36
Gene2115	1928	3854	1302	1389	1247	796
Gene2116	65	87	4	3	73	0
Gene2117	296	12	2	4	10	12
Gene2118	2599	3156	1805	1585	1164	3699
Gene2119	112	53	73	57	72	38
Gene2120	401	670	180	292	171	158
Gene2121	1545	2358	2192	2192	1074	63
Gene2122	14	0	0	0	20	27
Gene2123	211	1587	1213	2551	154	129
Gene2124	38	9	33	0	0	0
Gene2125	623	1030	337	404	317	142
Gene2126	65	12	0	0	23	0
Gene2127	1369	1415	379	346	774	990
Gene2128	0	6	3	8	3	8
Gene2129	692	449	120	274	381	153
Gene2130	567	827	269	217	1027	138
Gene2131	694	981	633	482	630	0
Gene2132	692	627	201	124	562	645
Gene2133	1121	624	600	269	530	0
Gene2134	1500	2701	269	605	897	1619
Gene2135	118	200	99	59	53	174
Gene2136	81	10	12	4	34	103
Gene2137	85	23	0	0	19	0
Gene2138	1167	615	136	233	335	497
Gene2139	31	1	0	10	51	40
Gene2140	2500	6553	3155	4157	1949	2887
Gene2141	828	2130	927	608	472	335
Gene2142	714	796	275	669	571	0
Gene2143	31	62	14	24	31	22
Gene2144	219	89	21	19	410	0
Gene2145	697	1265	935	838	501	2604
Gene2146	1252	3020	749	535	3084	1913
Gene2147	98	290	51	21	127	0
Gene2148	612	1509	311	325	623	514
Gene2149	117	946	689	4118	292	0
Gene2150	9061	12674	4518	9586	4464	5213
Gene2151	190	46	0	0	365	0
Gene2152	6	10	6	15	4	3
Gene2153	697	763	387	252	404	172
Gene2154	623	531	267	281	462	243
Gene2155	104	1121	699	702	42	0
Gene2156	20	55	16	33	8	8
Gene2157	62	0	0	0	0	60
Gene2158	163	177	15	68	45	17
Gene2159	38	49	78	52	0	0
Gene2160	3357	3874	1395	1260	411	505
Gene2161	388	968	384	379	309	113
Gene2162	687	571	121	63	681	629
Gene2163	460	1046	656	645	68	220
Gene2164	324	449	295	196	286	268
Gene2165	114	346	0	0	44	0
Gene2166	26	0	14	0	40	180
Gene2167	91	94	0	16	99	0
Gene2168	73	3	0	0	46	0
Gene2169	581	307	91	139	104	144
Gene2170	429	1026	753	4261	267	315
Gene2171	555	561	119	135	181	46
Gene2172	1039	884	504	781	734	798
Gene2173	34	123	0	0	14	0
Gene2174	711	693	300	460	130	0
Gene2175	669	491	1	99	577	1022
Gene2176	1196	2158	1060	1034	654	2512
Gene2177	57	56	13	34	27	49
Gene2178	407	437	380	393	287	206
Gene2179	1077	1587	646	491	321	835
Gene2180	754	615	157	128	693	216
Gene2181	66	132	56	142	62	13
Gene2182	1293	1552	681	694	566	672
Gene2183	117	0	0	0	472	0
Gene2184	403	308	184	96	305	1037
Gene2185	247	211	91	217	88	0
Gene2186	250	665	624	1529	162	52
Gene2187	680	774	88	283	191	1887
Gene2188	21	11	0	0	43	1361
Gene2189	327	403	311	133	346	439
Gene2190	782	1578	266	160	523	502
Gene2191	520	1038	196	212	326	311
Gene2192	405	1062	392	301	345	168
Gene2193	279	530	124	216	300	70
Gene2194	416	1722	197	124	244	646
Gene2195	2396	4336	2283	4048	2389	2090
Gene2196	298	1378	873	702	181	1228
Gene2197	250	117	91	78	155	43
Gene2198	107	670	446	379	276	0
Gene2199	12	20	6	11	7	37
Gene2200	200	2055	544	410	153	480
Gene2201	1273	1798	1111	1180	494	187
Gene2202	1688	3330	483	447	947	1488
Gene2203	18	3	1	0	22	0
Gene2204	2168	3842	2427	2668	697	734
Gene2205	395	375	776	331	279	269
Gene2206	151	167	100	37	31	0
Gene2207	13	256	266	102	10	0
Gene2208	358	254	102	54	224	421
Gene2209	360	1395	2632	3879	202	1
Gene2210	335	479	377	316	443	158
Gene2211	392	626	203	200	150	294
Gene2212	437	793	146	196	295	313
Gene2213	8386	3521	5505	3231	4058	1639
Gene2214	64	31	0	0	38	0
Gene2215	3961	10285	5085	6252	3503	2821
Gene2216	294	258	191	68	191	565
Gene2217	102	471	160	122	107	131
Gene2218	37	60	0	14	200	0
Gene2219	6536	3787	947	1205	2459	556
Gene2220	538	23	0	0	137	245
Gene2221	1348	152	197	351	796	472
Gene2222	1927	4435	1168	575	1215	559
Gene2223	1213	699	709	358	611	84
Gene2224	2216	3345	869	1013	1621	892
Gene2225	2902	53	8	5	54	23
Gene2226	19	0	0	0	24	21
Gene2227	324	712	561	964	122	401
Gene2228	478	608	205	180	375	164
Gene2229	11	12	4	7	4	4
Gene2230	194	184	0	0	154	238
Gene2231	1782	2026	2268	1001	1096	2787
Gene2232	1711	1876	1179	1270	947	3942
Gene2233	56	80	10	1	53	0
Gene2234	53	13	44	46	0	0
Gene2235	736	425	380	533	215	569
Gene2236	49	81	27	97	12	39
Gene2237	427	622	265	278	135	28
Gene2238	107	28	0	26	0	0
Gene2239	43	251	111	218	55	0
Gene2240	553	581	275	259	287	493
Gene2241	84	188	0	0	61	93
Gene2242	172	73	34	84	124	105
Gene2243	1166	1039	701	795	1042	762
Gene2244	451	545	144	141	304	0
Gene2245	328	300	157	191	222	277
Gene2246	35	0	33	43	81	36
Gene2247	429	384	310	339	128	403
Gene2248	1525	1378	256	270	919	3081
Gene2249	1249	732	280	288	847	74
Gene2250	380	1278	288	498	141	0
Gene2251	786	389	151	292	567	515
Gene2252	831	1672	977	1080	536	671
Gene2253	650	945	180	493	411	0
Gene2254	323	377	343	152	82	41
Gene2255	1167	1475	425	691	588	121
Gene2256	416	617	769	1423	260	375
Gene2257	24	0	0	0	0	0
Gene2258	255	619	456	465	237	274
Gene2259	60	28	0	0	0	0
Gene2260	2741	5780	2672	2287	2549	5904
Gene2261	301	126	102	61	170	52
Gene2262	190	826	1483	1468	75	0
Gene2263	393	21	764	2880	313	128
Gene2264	1071	2555	701	673	1057	2382
Gene2265	578	439	184	279	383	131
Gene2266	7150	2097	510	55	1257	145
Gene2267	21	18	36	50	20	0
Gene2268	53	47	36	21	31	843
Gene2269	282	839	314	581	106	85
Gene2270	39	9	0	0	0	0
Gene2271	38	15	0	0	0	0
Gene2272	268	324	82	27	304	608
Gene2273	193	50	0	0	112	0
Gene2274	374	316	147	102	482	1738
Gene2275	47	15	5	8	9	14
Gene2276	33	35	0	0	0	0
Gene2277	512	202	98	7	400	118
Gene2278	90	58	65	17	84	0
Gene2279	190	258	110	123	0	77
Gene2280	28	41	0	0	20	0
Gene2281	122	240	0	0	37	0
